_id,isPb,wpm,acc,rawWpm,consistency,charStats,mode,mode2,quoteLength,restartCount,testDuration,afkDuration,incompleteTestSeconds,punctuation,numbers,language,funbox,difficulty,lazyMode,blindMode,bailedOut,tags,timestamp
68773cf177185453660b4a0d,true,83.19,99.52,83.19,82.82,208;0;0;0,time,30,,0,30,0,0,false,false,english,,normal,false,false,false,,1752644847554
68773cce77185453660b48db,,78.37,98.99,78.37,76.17,196;0;0;0,time,30,,1,30.01,0,19.07,false,false,english,,normal,false,false,false,,1752644813695
68773c8777185453660b4663,,60.39,91.18,63.59,67.04,151;3;0;1,time,30,,0,30,0,0,false,false,english,,normal,false,false,false,,1752644742946
68773c6677185453660b452c,,64.79,94.62,70.79,72.88,162;2;0;2,time,30,,1,30,0,1.46,false,false,english,,normal,false,false,false,,1752644709833
68773c3b77185453660b43b7,,72,96.79,72,69.94,180;0;0;0,time,30,,0,30,0,0,false,false,english,,normal,false,false,false,,1752644666499
68773c1a77185453660b42a8,,71.59,97.3,71.59,78.21,179;0;0;0,time,30,,0,30,0,0,false,false,english,,normal,false,false,false,,1752644633924
68773bf177185453660b4137,,73.6,98.4,73.6,79.01,184;0;0;0,time,30,,0,30,0,0,false,false,english,,normal,false,false,false,,1752644593123
68773bd077185453660b3fe0,,69.2,95.58,69.2,70.51,173;0;0;0,time,30,,0,30,0,0,false,false,english,,normal,false,false,false,,1752644560036
68773baf77185453660b3ea9,,67.2,93.96,67.2,64.42,168;0;0;0,time,30,,0,30,0,0,false,false,english,,normal,false,false,false,,1752644526678
6870dd397718545366d47b3b,,57.2,89.35,61.59,57.9,143;3;0;0,time,30,-1,0,30,1,0,false,false,english,,normal,false,false,false,,1752227129000
6870dd177718545366d479de,,71.17,95.85,73.16,72.87,178;0;0;1,time,30,-1,0,30.01,0,0,false,false,english,,normal,false,false,false,,1752227095000
6870dcf37718545366d4786b,,65.57,98.24,65.57,65.51,164;0;0;0,time,30,-1,0,30.01,0,0,false,false,english,,normal,false,false,false,,1752227059000
6870dcd17718545366d47701,,56.38,90.12,59.18,54.54,141;3;0;1,time,30,-1,0,30.01,0,0,false,false,english,,normal,false,false,false,,1752227025000
686bc4127718545366a67795,,70.38,98.88,70.38,75.8,176;0;0;0,time,30,-1,0,30.01,0,0,false,false,english,,normal,false,false,false,,1751893010000
686bc3f07718545366a6761a,,70.79,94.65,70.79,73.91,177;0;0;0,time,30,-1,3,30,0,49.36,false,false,english,,normal,false,false,false,,1751892976000
686bc38d7718545366a671a5,,73.99,95.94,76.39,69.63,185;3;0;1,time,30,-1,0,30,0,0,false,false,english,,normal,false,false,false,,1751892877000
686bc3447718545366a66e70,,71.99,97.84,71.99,74.85,180;0;0;0,time,30,-1,0,30,0,0,false,false,english,,normal,false,false,false,,1751892804000
686ac80d77185453669ea645,,74.76,98.42,74.76,71.37,187;0;0;0,time,30,-1,0,30.01,0,0,false,false,english,,normal,false,false,false,,1751828493000
6868325677185453668bb43f,,59.58,97.39,59.58,62.69,149;0;0;0,time,30,-1,4,30.01,1,51.43,false,false,english,,normal,false,false,false,,1751659094000
686831e877185453668bb169,,61.2,92.77,64.4,73.3,153;6;0;1,time,30,-1,0,30,0,0,false,false,english,,normal,false,false,false,,1751658984000
686831c777185453668bb089,,57.17,100,57.17,68.57,143;0;0;0,time,30,-1,0,30.01,0,0,false,false,english,,normal,false,false,false,,1751658951000
6868319c77185453668baf4c,,59.57,95.06,61.17,71.47,149;0;0;1,time,30,-1,0,30.02,0,0,false,false,english,,normal,false,false,false,,1751658908000
